KEY	VALUE	COMMENTS
__id	jp	en		
__name	日本語	English	
button.play	プレイ
ui.numberplacement.45	45位
ui.numberplacement.46	46位
ui.numberplacement.47	47位
ui.numberplacement.48	48位
ui.numberplacement.49	49位
ui.numberplacement.50	50位
ui.numberplacement.51	51位
ui.numberplacement.52	52位
ui.numberplacement.53	53位
ui.numberplacement.54	54位
ui.numberplacement.55	55位
ui.numberplacement.56	56位
ui.numberplacement.57	57位
ui.numberplacement.58	58位
ui.numberplacement.59	59位
ui.numberplacement.60	60位
ui.numberplacement.61	61位
ui.numberplacement.62	62位
ui.numberplacement.63	63位
ui.numberplacement.64	64位
ui.numberplacement.65	65位
ui.numberplacement.66	66位
ui.numberplacement.67	67位
ui.numberplacement.68	68位
ui.numberplacement.69	69位
ui.numberplacement.70	70位

ui.init.loading	読み込み中: {cityname}
ui.init.mapgen	都市マップ作成中: {cityname}
ui.init.citygen	街の人口配置中: {cityname}, {year}年
ui.init.final	最終処理中
ui.init.alphabeta	不具合報告はF1キーを押してください。

ui.hud.dateturn	{date}  (ターン #{turn})
ui.hud.nextturn	ターン終了
ui.hud.player	AI: {percent}
ui.hud.money-turn	{money}   <size=75%>(今ターンの収支: {deltaString})</size>
ui.hud.money-turn-short	{money}   <size=75%>{deltaString}</size>

ui.hud.saving.up	<sprite name="ui clock"> ゲーム保存中...
ui.hud.writing.up	<sprite name="ui clock"> ディスク書き込み中...
ui.hud.saving	保存中。しばらくお待ちください...

ui.hud.peeps	<sprite name="ui peep">: {num}/{max}
ui.hud.cars	<sprite name="ui car">: {num}/{max}
ui.hud.trucks	<sprite name="ui truck">: {num}/{max}
ui.hud.corners	<sprite name="ui corner"> : {num}
ui.hud.peeps.mo	構成員の最大数: {max}以下\n上限は縄張りの広さに依存します。\n\n{explanation}
ui.hud.cars.mo	乗用車の保有上限: {max}以下\n上限は構成員数と駐車スペースに依存します。\n\n{explanation}
ui.hud.trucks.mo	トラックの保有上限: {max}以下\n上限は技術（スキル）と駐車スペースに依存します。\n\n{explanation}
ui.hud.corners.mo	支配下の角地数: {num}

ui.hud.unknown	<b>{name}</b>\n{desc}\n\n{footer}
ui.hud.unknown.resname	未知の居住区
ui.hud.unknown.bizname	未知の店舗
ui.hud.unknown.civicname	未知の公共建築
ui.hud.unknown.notexplored	このエリアはまだ探索されていません。構成員を向かわせて調査させろ！

ui.hud.known.resfooter.1	ポストの氏名: {names}
ui.hud.known.resfooter	ポストの氏名: {names}
ui.hud.known.resfooter.many	ポストの氏名: {names} 他
ui.hud.known.bizsmall	街の至る所にある小さな店だ。中で何が行われているかは不明だ。
ui.hud.known.bizlarge	立派な構えの建物だ。中で何が行われているかは不明だ。

ui.rename.title	<b>名声の獲得</b>
ui.rename.header.you	この界隈でお前の名前が売れてきたようだ！ 街の連中に呼ばれたい「通り名」を選べ:
ui.rename.header.m	構成員の{name}がこの界隈で名を上げてきた！ 奴にふさわしい「通り名」を付けてやれ。今後はその名で呼ばれることになる:
ui.rename.header.f	構成員の{name}がこの界隈で名を上げてきた！ 彼女にふさわしい「通り名」を付けてやれ。今後はその名で呼ばれることになる:
ui.rename.example-nickname	スカーフェイス
ui.rename.describe	名前は次のように表示される:\n<align=center><b>{longname}</b></align>\nまたは、構成員リストでは「{shortname}」と表示される。
ui.rename.footer	通り名は慎重に選べ。一度決めると変更はできん。今の名前のままで通す（拒否する）ことも可能だ。

ui.rename.random-nickname.m	スカーフェイス
ui.rename.random-nickname.m	スケアリー
ui.rename.random-nickname.m	ワイズガイ
ui.rename.random-nickname.m	ブレイブ
ui.rename.random-nickname.m	シルバータング
ui.rename.random-nickname.m	ライブワイヤー
ui.rename.random-nickname.m	ショートフューズ
ui.rename.random-nickname.m	ダッパー
ui.rename.random-nickname.m	オールドマン

ui.rename.random-nickname.f	デンジャラス
ui.rename.random-nickname.f	ベビーフェイス
ui.rename.random-nickname.f	ライブワイヤー
ui.rename.random-nickname.f	ショートフューズ
ui.rename.random-nickname.f	フラッパー
ui.rename.random-nickname.f	レイトアウル
ui.rename.random-nickname.f	リッツィ
ui.rename.random-nickname.f	フォクシー
ui.rename.random-nickname.f	シーバ
ui.rename.random-nickname.f	スウェルデイム

ui.name.simple	{title} {first} {last}
ui.name.nicklong	{title} {first} "{nickname}" {last}
ui.name.nickshort	{title} {nickname} {last}
ui.name.title-cops	警官
ui.name.title-feds	捜査官

ui.vehicle-cond.good	良好
ui.vehicle-cond.clunker	許容範囲
ui.vehicle-cond.junk	使用不可
ui.vehicle-cond.worn	摩耗
ui.vehicle-cexp.good	良好な状態
ui.vehicle-cexp.clunker	それなりの状態
ui.vehicle-cexp.junk	使用不可能な状態
ui.vehicle-cext.worn	摩耗した状態

ui.convo.person.mo	店主の情報を表示
ui.convo.biz.mo	店舗の情報を表示
ui.convo.rel.mo	人間関係の情報を表示

ui.personinfo.mouseover	{name}\n\n{ethAndAge}\n\n{workplace}
ui.personinfo.mouseover.short	{name}\n{workplace}\n{details}

ui.personinfo.infostring	{name} {ifDead} ({eth}系、{born}年生まれ)
ui.personinfo.infostring.short	{reltoyou}、{age}歳、{eth}系
ui.personinfo.age-eth	{age}歳、{eth}系


ui.personinfo.crew.you	お前はこの組織のボスだ。
ui.personinfo.crew.peep	{name}はお前の配下だ。
ui.personinfo.crew.action	現在の行動: {action}
ui.personinfo.crew.skills	共有スキル: {num} <sprite name="ui skills">
ui.personinfo.crew.skills.1	共有スキル: {num} <sprite name="ui skills">
ui.personinfo.crew.skills.mo	これらのスキルは全構成員で共有される。\n詳細は「組織の技術」報告書を確認しろ。
ui.personinfo.crew.levelups	新しい <sprite name="ui level up"> 経験が利用可能だ！
ui.personinfo.crew.levelups.mo	構成員は任務をこなすことで経験値を獲得する。

ui.personinfo.conn.yours	お前のコネ:
ui.personinfo.conn.common	共通のコネ:

ui.personinfo.skill.oneline	·<indent=15>{item}</indent>

ui.personinfo.goto.mo	この場所へ向かう
ui.personinfo.traits-header	個性の特徴:
ui.personinfo.trait	·<indent=15>{traitname}</indent>
ui.personinfo.trait.details	·<indent=15><b>{traitname}</b> <i>({traitdesc})</i></indent>
ui.personinfo.trait.icons	{traits}: <size=125%>{icons}</size>

ui.personinfo.levelups.header	<b>{name}</b>\n向上させる能力を選択しろ:

ui.personinfo.levelups-none	経験: まだなし
ui.personinfo.levelups.oneline	·<indent=15>{levelup}</indent>
ui.personinfo.levelups.details	·<indent=15>{levelup}\n<i>{details}</i></indent>
ui.personinfo.levelups.ticker	{name}はこれまでの働きで経験を積んだ。\n\nどの能力を磨かせるか選んでやれ。
ui.personinfo.levelups.available	<b>{name}</b> - レベル {num} へ向上\n{desc}
ui.personinfo.levelups.icons.0	経験: まだなし
ui.personinfo.levelups.icons	経験: {icons}

ui.personinfo.filter.header	フィルター:
ui.personinfo.filter.everyone	全ての共通コネ
ui.personinfo.filter.family	全ての既知の親族
ui.personinfo.filter.friends	全ての既知の知人
ui.personinfo.filter.gangs	組織の構成員
ui.personinfo.filter.goons	トラブルメーカー
ui.personinfo.filter.cops	警察および連邦捜査官

ui.personinfo.unemployed	無職
ui.personinfo.age	{years}歳
ui.personinfo.dead	死亡

ui.personinfo.status.defiant	要求ステータス: <i>反抗的</i>
ui.personinfo.status.compliant	要求ステータス: <i>従順</i>
ui.personinfo.occ.none	無職
ui.personinfo.occ.unk	職業不明
ui.personinfo.occ.info	{bizname} 勤務
ui.personinfo.occ.politician	{ward} の政治家
ui.personinfo.selected.human	これはお前だ:
ui.personinfo.selected.not-human	お前の部下だ:

ui.personinfo.selected.goon	地元のチンピラ
ui.personinfo.selected.opp.boss	ボスの名前:
ui.personinfo.selected.opp.goon	雇用主:

ui.personinfo.selected.unknown	見知らぬ誰かの部下

ui.personinfo.rel-exp.opinion	<b>相手のお前に対する評価: {rating} pts</b>
ui.personinfo.rel-exp.none	<b>相手のお前に対する評価: なし</b>

ui.personinfo.action-string.idle	待機中
ui.personinfo.action-string.driving	運転中
ui.personinfo.action-string.busy	多忙

ui.personinfo.selected.compose	{prefix}: {groupname} {compliance}

ui.personinfo.dialog.header	<size=150%>{name}</size>\n{workplace}\n{details}



ui.stationinfo.header	{groupname}\n{precinct}
ui.stationinfo.loc	所在地:\n{cornerinfo}
ui.stationinfo.status.coop	状況:\n協力的
ui.stationinfo.status.noop	状況:\n非協力的
ui.stationinfo.officers	勤務中の警官:
ui.stationinfo.officers.card.influenced	\n<i>(お前の支配下にある)</i>
ui.stationinfo.officers.card.name	{name} {influenced}

ui.icon.movement	<sprite name="ui movement pts">
ui.icon.actions	<sprite name="ui action pts">
ui.icon.health	<sprite name="ui health">
ui.icon.car	<sprite name="ui car">
ui.icon.weapon	<sprite name="res cat weapons">
ui.icon.tire	<sprite name="ui tire">

ui.combine.icon-and-name	{icon} {name}
ui.combine.icon-name-and-units	{icon} {name}: {qtyunits}
ui.combine.icon-and-desc	{icon}<indent=30>{desc}</indent>

ui.xp	<sprite name="xp general">
ui.xp.num	{num} <sprite name="xp general">
ui.xp.plus	<sprite name="ui level up"><sprite name="ui xp arrow">

ui.conn	<sprite name="ui pip social">
ui.conn.num	{num} <sprite name="ui pip social">
ui.conn.qmark	<sprite name="ui pip social">

ui.movementcost	<size=75%>{num} <sprite name="ui movement pts"></size>
ui.movementcost.fail	移動ポイント不足
ui.actioncost.fail	アクションポイント不足

ui.playerskills.learned	組織が新しい技術を習得した: <b>{name}</b>\n\n{desc}\n\n構成員全員がこの新しい知識の恩恵を受けられる。
ui.playerskills.resource	新しい資源（ブツ）についての知識を得た！\n\n{name}: {desc}\n\n既知の、あるいは未発見の店の中に、このブツに興味を持つ奴がいるはずだ。

ui.crewlistinfo.header	構成員情報
ui.crewlistinfo.desc	詳細を見るには項目をクリックしろ
ui.crewlistinfo.current	現在の構成員
ui.crewlistinfo.past	過去の構成員
ui.crewlistinfo.potential	加入を希望している奴ら
ui.crewlistinfo.tmpl.current	{name}
ui.crewlistinfo.tmpl.past	{name} <size=80%>(死亡)</size>
ui.crewlistinfo.tmpl.potential	{name}\n<size=80%>組織に興味を持っている</size>
ui.crewlistinfo.desc.header	<size=150%>{name}</size>\n{workplace}\n{details}
ui.crewlistinfo.desc.current	現在の給与: 1ターンにつき {money}\n{details}
ui.crewlistinfo.desc.past	この構成員は{year}年に死亡した。\n遺族への支援金: 1ターンにつき {money}
ui.crewlistinfo.desc.potential	{firstname}は仕事を探している。組織を拡大したいなら、{friendname}を訪ねて紹介してもらえ。
ui.crewlistinfo.desc.details	{traits}\n\n{levelups}
ui.crewlistinfo.with-trait	特性あり:
ui.crewlistinfo.any-trait	不問

ui.crewinfo.manage.mo	構成員の管理
ui.crewinfo.peep.mo	この構成員の詳細情報を表示
ui.crewinfo.corner.mo	この角地の詳細情報を表示
ui.crewinfo.scheme.mo	この構成員の現在の計画（スキーム）を表示
ui.crewinfo.goto.mo	この角地にカメラを合わせる
ui.crewinfo.vehicle.mo	車両の割り当て、あるいは建物の管理を命じる
ui.crewinfo.automate.mo	配送ルートを編集する
ui.crewinfo.name	<b>{name}</b>
ui.crewinfo.namedead	{name}
ui.crewinfo.descdead	<i>死亡</i>
ui.crewinfo.descaction	<i>{action}</i>
ui.crewinfo.descpoints	<sprite name="ui action pts"> {actions}  <sprite name="ui movement pts"> {movements}
ui.crewinfo.pickone	話しかける奴を選べ。
ui.crewinfo.pickone.safehouse	このセーフハウスで動かす奴を選べ。
ui.crewinfo.pickone.biz	この店で交渉させる奴を選べ。
ui.crewinfo.pickone.civic	この公共建築で動かす奴を選べ。
ui.crewinfo.newhire	新しい構成員: {name}\n\n新入りがメインセーフハウスに到着した。命令を待っているぞ。

ui.crewinfo.edit-button.mo	項目の並べ替え
ui.crewinfo.edit-card.mo	クリックして移動させる

ui.crewinfo.module	{name}
ui.crewinfo.nomodule	<i>シノギなし</i>
ui.crewinfo.manager	管理人: <b>{name}</b>
ui.crewinfo.nomanager.desc	管理人なし
ui.crewinfo.nomanager.gambling	<sprite name="ui gambling unfunded"> 管理人なし

ui.crewinfo.building.mo	<b>{bizname}</b>\nシノギ: {opname}\n管理人: {peepname}
ui.crewinfo.building.mo.none	なし
ui.crewinfo.building.mo.nooperation	\n\nシノギなし。この建物に裏の設備を導入できるぞ。
ui.crewinfo.building.mo.nomanager	\n\n管理人不在。構成員を一人割り当てて管理させろ。
ui.crewinfo.building.mo.resultcash	<sprite name="ui arr big right"> <sprite name="res cash">
ui.crewinfo.building.mo.resultres	<sprite name="ui arr big right">
ui.crewinfo.building.mo.cycletime	\n{consumeDays}日ごと ({consumeTurns}ターン)
ui.crewinfo.building.mo.cycletime-with-progress	\n{consumeDays}日ごと ({consumeTurns}ターン)。進捗 {percentage}
ui.crewinfo.building.mo.buildtime	建設中\n残り {daysleft}日 ({turnsleft}ターン)

ui.crewinfo.desc-idle	未割り当て
ui.crewinfo.desc-manager	{bizname} 管理中
ui.crewinfo.desc-arrested	逮捕。 {date}に公判予定
ui.crewinfo.desc-imprisoned	連邦刑務所に収監中 ({date}まで)
ui.crewinfo.scheming	計画（スキーム）実行中

ui.crewinfo.name-and-group	\n<size=80%>{group}</size>

ui.crewinfo.vehicle.describe	\n\n{inventory}

ui.crewlist.header.currmax	構成員 ({current}/{max}):

ui.crewinfo.delivery-manage	管理 <sprite name="ui delivery route">
ui.crewinfo.delivery-setup	<align=center><i>クリックして新しい配送を設定</i></align>
ui.crewinfo.delivery-noassign	担当者なし

ui.crewinfo.crewtype.muscle	実行部隊（マッスル）
ui.crewinfo.crewtype.building	施設管理
ui.crewinfo.crewtype.deliveries	配送担当
ui.crewinfo.crewtype.none-crew	待機中の構成員
ui.crewinfo.crewtype.none-vehicle	未割り当ての車両
ui.crewinfo.crewtype.in-scheme	計画実行中

ui.crewinfo.act-cost.move	消費: {cost} <sprite name="ui action pts"> アクションポイント
ui.crewinfo.act-cost.action	消費: {cost} <sprite name="ui movement pts"> 移動ポイント

ui.crewinfo.popup.mgmt	構成員管理

ui.crewinfo.mo-action-pts	<sprite name="ui action pts"> アクションポイント
ui.crewinfo.mo-movement-pts	<sprite name="ui movement pts"> 移動ポイント
ui.crewinfo.mo-remaining	今ターンの残り:\n<indent=10><b>{actionLeft}</b> {actionPtsLabel}</indent>\n<indent=10><b>{movementLeft}</b> {movementPtsLabel}</indent>\n\n
ui.crewinfo.mo-generated	次ターンの回復量:
ui.crewinfo.mo-line	<indent=10>{points} {label}</indent>
ui.crewinfo.mo-arrested	{name}は連邦刑務所で公判を待っている！\nもし <b>警察内部に友人</b> がいるなら、シャバに出してやれるかもしれんぞ。
ui.crewinfo.veh-desc	修理ベイ、または駐車スペースあり

ui.crewinfo.stat.peepskilled	殺害人数 {value}
ui.crewinfo.stat.boozesold	酒の販売数 {value}
ui.crewinfo.stat.boozeproduced	酒の生産数 {value}
ui.crewinfo.stat.totaltransactions	総取引数 {value}
ui.crewinfo.stat.convos	会話回数 {value}
ui.crewinfo.stat.goondeals	チンピラとの取引数 {value}
ui.crewinfo.stat.gamblersextorted	ギャンブラーへの脅し {value}
ui.crewinfo.stat.gamblersforgiven	借金の帳消し {value}
ui.crewinfo.stat.gamblerskicked	客の追い出し {value}
ui.crewinfo.stat.businessesextorted	恐喝した店舗数 {value}
ui.crewinfo.stat.frontsprotected	守り抜いた拠点 {value}
ui.crewinfo.stat.frontsattacked	崩した敵拠点 {value}
ui.crewinfo.stat.buildingsattacked	襲撃した建物 {value}
ui.crewinfo.stat.buildingsrepaired	修理した建物 {value}
ui.crewinfo.stat.copsbribed	買収した警官 {value}
ui.crewinfo.stat.arrested	逮捕歴 {value}
ui.crewinfo.stat.drivedistance	総走行距離 {value}
ui.crewinfo.stat.nodescouted	調査した角地 {value}
ui.crewinfo.stat.bizscouted	発見した店舗数 {value}
ui.crewinfo.stat.gangtruces	成立させた休戦 {value}
ui.crewinfo.stat.resvisited	参加した社交イベント {value}
ui.crewinfo.stat.outpostsstarted	設営した拠点数 {value}
ui.crewinfo.stat.safehouseraids	略奪した隠れ家 {value}
ui.crewinfo.stat.peepsthreatened	脅した人数 {value}
ui.crewinfo.stat.timesfought	戦闘回数 {value}
ui.crewinfo.stat.favorsredeemed	回収した貸し {value}
ui.crewinfo.stat.expansionsupgradesbuilt	建設した拡張/強化 {value}
ui.crewinfo.stat.politicalevents	政治工作 {value}
ui.crewinfo.stat.fame	仲間にした人数 {value}

ui.crewinfo.stat.unit.corners	{value} 角地
ui.crewinfo.stat.unit.corners.1	{value} 角地
ui.crewinfo.stat.unit.people.1	{value} 人
ui.crewinfo.stat.unit.people	{value} 人
ui.crewinfo.stat.unit.units	{value} ユニット
ui.crewinfo.stat.unit.units.1	{value} ユニット
ui.crewinfo.stat.unit.none	{value}

ui.crewinfo.stat.category.business	ビジネス
ui.crewinfo.stat.category.warfare	抗争
ui.crewinfo.stat.category.exploration	探索
ui.crewinfo.stat.category.social	社交
ui.crewinfo.stat.category.gambling	賭博

ui.crewinfo.roles.persuader.icon	<sprite name="scheme intimidator">
ui.crewinfo.roles.persuader.title	脅し屋（インティミデイター）
ui.crewinfo.roles.persuader.desc	この構成員に睨まれれば、大抵の奴は折れて要求に従う。その面構えと態度は、冗談が通じないことを雄弁に物語っている。自分からは動こうとしない頑固者を「説得」したい時に向かわせろ。
ui.crewinfo.roles.persuader.short	脅し屋はチンピラが隠れ家に貯め込んだブツを吐かせたり、店主にシノギの材料を無理やり用意させたりできる。

ui.crewinfo.roles.enforcer.icon	<sprite name="scheme enforcer">
ui.crewinfo.roles.enforcer.title	始末屋（エンフォーサー）
ui.crewinfo.roles.enforcer.desc	あらゆる武器の扱いに精通したプロだ。いつ引き金を引くべきか、あるいは銃を見せるだけで十分な時を熟知している。単なる威圧以上の「実力行使」が必要な場面で投入しろ。
ui.crewinfo.roles.enforcer.short	始末屋がいれば拠点の設営費が安くなり、大規模な強奪（ハイスト）を指揮できる。

ui.crewinfo.roles.convict.icon	<sprite name="scheme jailbird">
ui.crewinfo.roles.convict.title	ムショ帰り（ジェイルバード）
ui.crewinfo.roles.convict.desc	忠誠心に疑いの余地はない。「消せ」と言われれば躊躇なく消し、喧嘩の落とし前をつけろと言われれば完遂してきた。口を割らずに臭い飯を食ってきた経験から、奴は裏社会でしか学べない独自のスキルを身につけている。
ui.crewinfo.roles.convict.short	ムショ帰りは非火器武器の扱い、および当局とのコネを使い連邦捜査官をライバルにけしかけることに長けている。

ui.crewinfo.roles.driver.icon	<sprite name="scheme lookout">
ui.crewinfo.roles.driver.title	見張り屋（ルックアウト）
ui.crewinfo.roles.driver.desc	どんな車でも自在に操る。あらゆる車両の特性を知り尽くし、この街の路地裏まで頭に入っている。地域の守りを固めたい時や、新しいシマへ進出したい時、あるいは「車」絡みの揉め事には奴を向かわせろ。
ui.crewinfo.roles.driver.short	見張り屋は毎ターン50%遠くまで走れ、縄張りを素早く広げることができる。

ui.crewinfo.roles.negotiator.icon	<sprite name="scheme mouthpiece">
ui.crewinfo.roles.negotiator.title	代弁者（マウスピース）
ui.crewinfo.roles.negotiator.desc	鶏から羽をむしり取るより簡単に、相手を言葉で丸め込める。繊細かつ力強い交渉が必要な場面では、奴に喋らせるのが一番だ。
ui.crewinfo.roles.negotiator.short	代弁者はサツへの賄賂を安く抑え、街の有力者の弱みを握ってゆすり（ブラックメール）をかけることができる。

