KEY	VALUE	COMMENTS
__id	jp
recipe.scopeout.illegal-fruit	We may be able to arrange for some fresh fruits. Mind you・・strictly for the vitamins and health benefits...
recipe.scopeout.illegal-source-warehouse-small	The inventory control at this warehouse is apparently not the tightest. We should see if they might lose some things onto our trucks.
recipe.scopeout.illegal-source-warehouse-small	We've heard that when asked nicely・・the owner of this warehouse will show anyone around. And then conveniently leave you alone for a while to 窶挈ook around.窶・
recipe.scopeout.illegal-source-warehouse-small	The proprietor of this warehouse has a reputation for losing things. There seems to be a correlation between forgetfulness and cash payments.
recipe.scopeout.illegal-source-warehouse-medium	Employees at this sizable warehouse seem accident prone with goods being frequently misrouted. With the right motivation・・they may misroute things our way.
recipe.scopeout.illegal-source-warehouse-medium	This warehouse is often very busy and sometimes doesn't really examine the paperwork very carefully. Sometimes they don't seem to read it at all for the right price.
recipe.scopeout.illegal-source-warehouse-medium	Owners of warehouses understand that some product loss happens. Neighborhood gossip is that these owners are very understanding about losing products.
recipe.scopeout.illegal-consume-homebrew	This establishment does a brisk business selling small packages. From the back door. In small・・dark bottles without labels.
recipe.scopeout.illegal-consume-homebrew	Customers here frequently order 窶抖he Special窶・which comes from a hidden cupboard. Perhaps we could supply a new 窶抓pecial窶・for them to sell?
recipe.scopeout.illegal-consume-homebrew	This business frequently has a lot of customers after their posted business hours. And they all seem quite happy. We could perhaps help them by furnishing some bottled happiness?
recipe.scopeout.illegal-consume-booze-small	Unsurprisingly・・this establishment gets a lot of deliveries. Surprisingly・・lots of these deliveries happen at 2 am. Do we have things we could deliver in cases at 2 am?
recipe.scopeout.illegal-consume-booze-small	Option one: they go through a lot of milk here. Option two: the crates that say 窶扨ILK窶・which arrive regularly don't actually contain milk.
recipe.scopeout.illegal-consume-booze-small	Locals coming and going from this business leave with carefully guarded packages and always seem to look both ways before exiting. 
recipe.scopeout.illegal-consume-booze-small	There is very little foot traffic in and out of the front door. The back door・・however・・seems more heavily used by bottle-toting patrons.
recipe.scopeout.illegal-consume-booze-small	The glass bottles in their trash attract a lot of fruit flies. We may have some fruit fly feed that would could sell them?
recipe.scopeout.illegal-consume-booze-small	A very brisk trade in 窶扎ealth Potions窶・is done here. If we get a line on a new supply of health potions・・we should keep them in mind.
recipe.scopeout.legal-consume-tobacco	They move a lot of tobacco here. Perhaps they'd welcome a cheaper source?
recipe.scopeout.legal-consume-tobacco	Cigarettes and cigars aplenty get sold here - a possible opportunity given the right circumstances.
recipe.scopeout.legal-cafe	Coffee. Black as Hell. Strong as Death. Sweet as Love.
recipe.scopeout.legal-cafe	Cakes and pies here are top-rate・・say the locals.
recipe.scopeout.legal-cafe	Coffee and a pastry here can help with a long day of scoping out.
recipe.scopeout.legal-restaurant	A wide variety of foodstuffs arrive at this restaurant every day.
recipe.scopeout.legal-restaurant	Might be a good place for dinner after a long day of scoping out.
recipe.scopeout.legal-restaurant	Locals rave about the menu here.
recipe.scopeout.flavor-club	They consume a vast amount of ice here. This place is cool・・but that's likely because of the wide variety of liquids chilled by ice available here.
recipe.scopeout.flavor-club	Rumor has it that you want to ask about the special coat check area at this club. The one in the basement next to the glassware and bottles.
recipe.scopeout.flavor-club	Locals say that you should ask for a bartender named Phil here. And it turns out that every bartender is named Phil. What are the chances?
recipe.scopeout.legal-flowers	Pretty posies and beautiful bouquets purveyed.
recipe.scopeout.legal-flowers	Fine flowers and potted plants are sold here.
recipe.scopeout.flavor-funeral	No one would stop a hearse bearing the dearly departed to their final resting place. Wait. That sounds like good cover...
recipe.scopeout.flavor-funeral	So we suspect that they're moving more than mortal remains in their hearses.
recipe.scopeout.flavor-funeral	We've tracked the hearses from this funeral home. They don't seem to visit the cemetery as often as you'd think.
recipe.scopeout.legal-furniture	Settees. Sofas. Chaises. Lots of options for home lounging on sale at this shop.
recipe.scopeout.legal-furniture	Beds. Dressers. Wardrobes. Armoires. Lots of furnishing options available here.
recipe.scopeout.legal-jewelry	Watches sold and repaired. Brooches and pendants. Lots of fine jewelry sold here.
recipe.scopeout.legal-jewelry	Sparkling rings. Glistening earrings. Fine watches and fobs. This store has some lovely gems and jewels.
recipe.scopeout.legal-newspapers	All editions of the latest local news.
recipe.scopeout.legal-newspapers	Press・・papers・・magazines and types of printed matter for sale here.
recipe.scopeout.legal-candy	Bags of sugar. Boxes of chocolate. Things tied in ribbons carefully arranged in the storefront window.
recipe.scopeout.legal-candy	From the aroma and the assortment of colorful treats in the windows・・this is likely a candy store.
recipe.scopeout.legal-shoes	Fine footwear sold and serviced at this establishment.
recipe.scopeout.legal-shoes	Dress shoes to work boots - all types and styles of footwear sold here.
recipe.scopeout.legal-books	Fiction to reference works・・poetry to philosophy. This bookseller has it all.
recipe.scopeout.legal-books	The latest bestsellers fly off the well-stocked shelves of this fine bookstore. 
recipe.scopeout.legal-clothing	The latest styles of apparel fill the racks at this clothing shop.
recipe.scopeout.legal-clothing	Clothes for work and fancy outfits for special occasions are in-stock and ready to wear.
recipe.scopeout.flavor-laundry	This business specializes in the boring kind of laundering.
recipe.scopeout.flavor-laundry	Soap. Hot water. Irons. Looks like some type of commercial laundry operation.
recipe.scopeout.source-malt-small	We might be able to get our hands on malt syrup here that we'll only use for baking. Just baking.
recipe.scopeout.source-malt-small	This business has excessive amounts of malt syrup just sitting around. If we ask nicely・・they may sell it to us.
recipe.scopeout.building-materials-small	This business store doesn't appear too particular about permits to sell materials.
recipe.scopeout.building-materials-small	We can probably get some construction materials here for building and expanding things.
recipe.scopeout.source-tobacco-small	The large crates that move in at night smell suspiciously like raw tobacco even though the crates are labeled 窶戮OTTON窶・
recipe.scopeout.source-tobacco-small	Trucks with license plates from the south show up and unload large crates late at night. Pretty sure it's raw tobacco.
recipe.scopeout.source-labels	The owner of this print shop isn't too concerned about copyright laws and might be willing to sell us some convincing fake labels.
recipe.scopeout.source-labels	A print shop with a pliable owner. Perhaps we could secure some convincing fake labels or other counterfeits.
recipe.scopeout.source-farm	The owner of this business gets lots of produce from the countryside that could be useful.
recipe.scopeout.source-farm	Because of frequent trips to farms outside of the city・・this business can access some potentially useful produce.
recipe.scopeout.illegal-bottles	They move cases out with prominent Frank's Milk labels. We've never seen Frank's Milk in a store. Does milk usually come in dark bottles? Maybe we get in the dairy racket?
recipe.scopeout.illegal-bottles	They bring in barrels that say Florida Orange Juice. They appear to be producing bottles without labels. Why would they skip labeling?
recipe.scopeout.illegal-bottles	Cases of mineral water? Is this an unknown urban artesian spring? The liquid inside is sometimes clear・・but it's definitely not water.
recipe.scopeout.illegal-bottles	Some nights trucks unload empty glass bottles. The bottles are being filled from barrels in the back room and then put back on the trucks. It's strangely well-guarded.
recipe.scopeout.small-lumberyard	Lumberyards have lots of convenient hiding places. At this one・・they seem to be filled with stoneware. And that stoneware in turn is filled with interesting concoctions.
recipe.scopeout.small-lumberyard	Lumberyards make lots of deliveries. In this particular case・・they seem to always have some stoneware crocks with curious liquids on their routes...
recipe.scopeout.conversion-backroom-distillery	They use a conspicuous amount of corn syrup in this building and we can't figure out what they're making.
recipe.scopeout.conversion-backroom-distillery	There is some strange equipment in the back of this building that looks a bit like a basic still.
recipe.scopeout.source-bakery-small	Bakeries produce bread and other baked goods. Baking often involves yeast and fermentation just like making booze. Interesting.
recipe.scopeout.source-bakery-small	The baked goods made here have ingredients that can be used for other fermented products.
recipe.scopeout.source-bakery-small	Bakeries use yeast・・water and some grain to make bread. Those same ingredients can be used for other・・more lucrative products.
recipe.scopeout.legal-soda-fountain	Fizzy drinks・・fruity malts・・creamy milkshakes are served from behind this soda fountain counter.
recipe.scopeout.legal-soda-fountain	Soda fountains are always popular with locals seeking a bit of refreshment.
recipe.scopeout.source-warehouse-homebooze	Several of the back rooms of this warehouse have 窶扛eep Out窶・signs. People go in and out with various sacks・・crates and stoneware crocks.
recipe.scopeout.source-warehouse-homebooze	We stopped someone coming out with a few stoneware crocks and asked what goes on in there. Their slurred reply was that they didn't come for the pickles. Then they staggered off.
recipe.scopeout.source-warehouse-homebooze	We suspect that the back rooms of this warehouse are doing more than storing stoneware crocks...
recipe.scopeout.illegal-beer	At night・・they load cargo into delivery vehicles. Hey wait - is that smell... beer?
recipe.scopeout.illegal-beer	In the middle of the night・・trucks pull up. A few have spilled and the contents look suspiciously amber-colored and fizzy.
recipe.scopeout.illegal-beer	A liquid made from barley・・water・・yeast and hops. What could that be?
recipe.scopeout.illegal-wine	The boxes coming in read 窶戮alifornia Grapes窶・ The barrels out the back curiously have no labels.
recipe.scopeout.illegal-wine	Crates of grapes go in. Then trucks pick up barrels labeled 窶抉ICKLES窶・ Ever heard of pickled grapes? Maybe we should by some pickled grapes?
recipe.scopeout.illegal-wine	Perhaps they're making raisins? What other uses could they have for that many grapes?
recipe.scopeout.illegal-source-booze-small-bulk	A garbage truck stops here frequently. It picks up barrels and doesn't seem interested in collecting trash. Those must be some interesting barrels.
recipe.scopeout.illegal-source-booze-small-bulk	Every few days・・a barrel is rolled out of the basement onto a waiting truck. At 3 am. With armed guards.
recipe.scopeout.illegal-source-booze-small-bulk	There's a peculiar pick up every few days. Same truck. Same barrels. Same two lookouts on the corner.
recipe.scopeout.illegal-bottles	They bring in barrels that say Florida Orange Juice. They appear to be producing bottles without labels. Why would they skip labeling?
recipe.scopeout.illegal-bottles	Cases of mineral water? Is this an unknown urban artesian spring? The liquid inside is sometimes clear・・but it's definitely not water.
recipe.scopeout.supper-club	This establishment appears to be more popular than others. The fine stemware・・corkscrews and other things indicate they serve more than iced tea.
recipe.scopeout.supper-club	The linens that get picked up for cleaning have purple stains and sometimes smell a bit like beer. This supper club is clearly popular for a reason.
recipe.scopeout.supper-club	This supper club gets a lot of late night and early morning deliveries from quite a few non-food service vendors.
recipe.scopeout.illegal-consume-booze-large	The staff is always carefully removing labels from bottles before disposing of them. For some reason・・they don't seem keen to reveal the former contents of those bottles.
recipe.scopeout.illegal-consume-booze-large	The side door to this establishment in the alley seems far busier than the main entrance out front.
recipe.scopeout.illegal-consume-booze-large	Many of the bottles that are disposed of here look like that started out life in another country and then were brought here to be consumed.
recipe.scopeout.sink-homebooze-industrial	Word around here is that the owner of this business uses their vehicles to deliver homemade booze to customers and establishments all over town.
recipe.scopeout.sink-homebooze-industrial	The owner of this business loads a lot of crocks into their work vehicles. I think they're probably selling to various customers around town.
recipe.scopeout.sink-homebooze-industrial	Talked with an employee. The owner is looking for homemade booze to sell from their work trucks. We should get to know them.
recipe.scopeout.sink-booze-industrial	Word around here is that the owner of this business uses their vehicles to deliver illegal bottles of booze to customers and establishments all over town.
recipe.scopeout.sink-booze-industrial	The owner of this business loads a lot of crates of bottles into their work vehicles. I think they're probably selling to various customers around town.
recipe.scopeout.sink-booze-industrial	Talked with an employee. The owner is looking for bottled booze to sell from their work trucks. We should get to know them.
recipe.scopeout.sink-industrial-barrels	A union hall. This union represents local employees and laborers in the transportation sector. Though this is a local・・it's connected to other locals around the country. A network of sorts. A potentially useful one.
recipe.scopeout.sink-industrial-barrels	This union hall is a node in a national network. Getting an in here could mean access to a regional and national distribution system.
recipe.scopeout.sink-industrial-barrels	The workers represented by this union load and unload trucks・・boats and trains. Perhaps we could use their connections to load and unload beneficial things.
recipe.scopeout.legal-coal	A simple coal yard. But it looks like the owner might be delivering more than sacks of coal in those trucks...
recipe.scopeout.legal-coal	They sell a lot of coal. But there is usually room in the delivery trucks for some 窶抛xtras窶・
recipe.scopeout.flavor-candy	Sweet! It's a candy factory!
recipe.scopeout.flavor-candy	Smells like chocolate. Must be a candy factory.
recipe.scopeout.flavor-candy	The colorful boxes・・wrappers and packaging point to this being a candy factory.
recipe.scopeout.cigarette-bootlegger	Cartons of cigarettes are sometimes unloaded from trucks here. At 4 am.
recipe.scopeout.cigarette-bootlegger	The proprietor asks patrons what kind of cigarettes they're looking for・・and they don't mean what brand.
recipe.scopeout.source-carshop-small	An auto mechanic by appearance. Lots of customers without cars. Interesting.
recipe.scopeout.source-carshop-small	This looks like an auto repair shop. Some of the customers look like they should leave their vehicles behind for reasons other than their need for repair.
recipe.scopeout.source-carshop-small	This car shop seems to repair a lot of vehicles very quickly. And they often finish by putting several packages in the trunk after a very cursory glance under the hood.
recipe.scopeout.conversion-malt-syrup	The smell of malted barley wafts through the air. They must be making malted health drinks.
recipe.scopeout.conversion-malt-syrup	A truck delivers large sacks of barley here every few days.
recipe.scopeout.conversion-malt-syrup	This business appears to be meeting the surging demand for malted barley by home bakers all over the city. Baking with malted barley has curiously become extremely popular of late.
recipe.scopeout.conversion-ice-house	The thick walls of this building seem to generate frost even on the hottest summer day.
recipe.scopeout.conversion-ice-house	All the workers here are always very warmly dressed. Even in July.
recipe.scopeout.junkyard	Vehicles in various states of repair and disassembly sit around this junkyard.
recipe.scopeout.junkyard	Cars and trucks are being broken down for spare parts.
recipe.scopeout.junkyard	There's probably some organization to these piles of vehicle parts and broken down cars.
recipe.scopeout.junkyard-module	The proprietor of this scrapyard would probably help you get rid of unwanted vehicles or quietly repair a damaged one.
recipe.scopeout.junkyard-module	The owner of this scrapyard is always looking for new sources of spare parts or to sell them for repairs.
recipe.scopeout.junkyard-module	One man's junk is another's treasure. And vice versa. 
recipe.scopeout.car-dealer-regular	New car smell wafts about.
recipe.scopeout.car-dealer-regular	Shiny metal bodies. Clean rubber tires. Looks like new cars are on sale here.
recipe.scopeout.truck-garage	This business has a lot of trucks coming and going.
recipe.scopeout.truck-garage	They have so many trucks. Perhaps they wouldn't miss one?
recipe.scopeout.truck-garage	Need a truck?
recipe.scopeout.truck-garage	Trucks are good・・right? They've got quite a few.
recipe.scopout.deli	Lots of people walk out of this place with tasty looking sandwiches.
recipe.scopout.deli	They slice meat paper-thin. The cheese is always fresh. The bread always warm.
recipe.scopout.deli	Lots of refrigerated display cabinets with meats・・cheeses and other delectables.
recipe.scopeout.illegal-booze	We've noticed workmen carrying in barrels two at a time. Then at night・・it takes two men to load them onto a truck. What potent liquid could be filling these barrels?
recipe.scopeout.illegal-booze	In the middle of the night・・trucks pull up・・and load cargo that looks barrel-shaped. Why would they be loading barrels at night?
building.biz-poolhall.bizname	{$firstname}'s {#pool-hall}
building.biz-poolhall.bizname	{#letter}{#letter} {#pool-hall}
building.biz-poolhall.bizname	{$lastname}'s {#pool-hall}
building.biz-poolhall.bizname	{#urban-features} {#pool-hall}
building.biz-supperclub.bizname	{#pattern-possessive}
building.biz-supperclub.bizname	{#pattern-possessive-first}
building.biz-supperclub.bizname	The {#club-names} Room
building.biz-drugstore.bizname	{$lastname} Drug Co.
building.biz-drugstore.bizname	{$firstname} {$lastname}・・{#drug-store-one}
building.biz-drugstore.bizname	{#pattern-one-name-biz}・・{#drug-store-one}
building.biz-drugstore.bizname	{#geographic-features} {#drug-store-two}
building.biz-drugstore.bizname	{#directions} {#drug-store-two}
building.biz-restaurant.bizname	{$lastname} {$eth} Delights
building.biz-restaurant.bizname	{#pattern-possessive-first}
building.biz-restaurant.bizname	{#pattern-possessive}
building.biz-restaurant.bizname	{$firstname}'s {$eth} Restaurant
building.biz-restaurant.bizname	{#biz-names-one} Diner
building.biz-restaurant.bizname	The {#urban-features}
building.biz-restaurant.bizname	The {#colors} {#rest-fixture}
