KEY	VALUE	COMMENTS
__id	jp
info.grapes.desc	Vitis vinifera\n\nFruit of the vine. Grapes have been cultivated by humans for millennia chiefly for use in wine production.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $2 per crate</b></indent>\n\n<i><indent=30><i>Don't long for the unripe grape.</i></indent>\n<indent=40>—Horace</indent>
info.apples.icon	<sprite name="res apples">
info.apples.name	Apples
info.apples.desc	Malus domestica\n\nApples came to the New World with European colonists and thrived. Americans made many things - many alcoholic things - with apples.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $1 per bushel</b></indent>\n\n<i><indent=30><i>Surely the apple is the noblest of fruits.</i></indent>\n<indent=40>—Henry David Thoreau</indent>
info.citrus.icon	<sprite name="res citrus">
info.citrus.name	Citrus Fruit
info.citrus.desc	Appealing fruit for a variety of uses\n\nCitrus has many uses. It can improve cocktails in both flavor and appearance. It's oil-laden rinds can also be used in a wide variety of infusions and other types of alcohol production.\n\n\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $2 per crate</b></indent>\n\n<i><indent=30><i>Knowest thou the land where the lemon-trees flourish， where amid the shadowed leaves the golden oranges glisten...Thither， thither， fain would I fly with thee， O my beloved!</i></indent>\n<indent=40>—Johann Wolfgang von Goethe</indent>
info.fruit-other.icon	<sprite name="res fruit">
info.fruit-other.name	フルーツ
info.fruit-other.desc	As long as it contains a lot of sugar， it should ferment.\n\nFruit of various types is available by the bushel from markets， wholesalers and other vendors all over the city. With the right expertise， these humble berries and drupes can be distilled into a variety of alcoholic beverages or used to make a wide variety of fruity infusions.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $4 per bushel</b></indent>\n\n<i><indent=30><i>Give me juicy autumnal fruit， ripe and red from the orchard.</i></indent>\n<indent=40>—Walt Whitman</indent>
info.wheat.icon	<sprite name="res wheat">
info.wheat.name	Wheat
info.wheat.desc	Triticum aestivum\n\nThose of limited imagination only see future baked goods， pasta or fine flour in the humble wheat berry. But those with knowhow realize that this cereal that has accompanied humanity for millennia has the potential to be turned into <sprite name="res whiskey-barrel"> <link="whiskey-barrel">whiskey</link> and other luscious liquors.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $4 per sack</b></indent>\n\n<i><indent=30><i>IF you could understand a single grain of wheat you would die of wonder.</i></indent>\n<indent=40>—Martin Luther</indent>
info.rye.icon	<sprite name="res rye">
info.rye.name	Rye
info.rye.desc	Secale cereale\n\nSince Neolithic times， humans have cultivated rye. This hardy cereal features heavily in the cuisines of rye belt countries of Europe that stretch from Germany into northern Russia. It also is easily malted and then turned into things like rye beer or <sprite name="res whiskey-barrel"> <link="whiskey-barrel">whiskey</link>.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $3 per sack</b></indent>\n\n<i><indent=30><i>The farmer has to be an optimist or he wouldn’t still be a farmer.</i></indent>\n<indent=40>—Will Rogers</indent>
info.steel-barrels.icon	<sprite name="res steel-barrels">
info.steel-barrels.name	Steel Barrels
info.steel-barrels.desc	For applications that require heat， pressure or both.\n\nBarrels made from wood have a wide variety of uses， but they react poorly to the application of heat and can't contain pressurized liquids. Steel barrels， by contrast， excel in those areas.\n\n<indent=15><b>Base price\n<sprite name="ui buy"> $5 per barrel</b></indent>\n\n<i><indent=30><i>Lay me on an anvil， O God. Beat me and hammer me into a crowbar. Let me pry loose old walls. Let me lift and loosen old foundations.</i></indent>\n<indent=40>—Carl Sandburg</indent>
info.beer-keg.icon	<sprite name="res beer-keg">
info.beer-keg.name	Beer Kegs
info.beer-keg.desc	Beer placed in steel barrels for more economical use of storage and transport space.\n\nBottled beer， while profitable， requires a large space to store and a lot of space in your store rooms. Then it's fairly cumbersome to transport and attracts a lot of attention. Kegs， however， solve many of those problems and eliminate the need for rather immense quantities of bottles. All in all， a better solution for brewing.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $120 per barrel</b></indent>\n\n<i><indent=30><i>I am a firm believer in the people. If given the truth， they can be depended upon to meet any national crisis. The great point is to bring them the real facts， and beer.</i></indent>\n<indent=40>—Abraham Lincoln</indent>
info.whiskey-bottled.icon	<sprite name="res whisky">
info.whiskey-bottled.name	Bottled Whiskey
info.whiskey-bottled.desc	Dark liquor made from barley or rye or whatever you have on hand to make it look and tast right.\n\nWhiskey making and drinking has a long history on both sides of the Atlantic. It's rightly very popular. Or was before Prohibition. You can get small production going in bottles at a makeshift whiskey still. If you get your hands on some <sprite name="res whiskey-barrel"> <link="whiskey-barrel">whiskey barrels</link>， you can create bottled whiskey at a bottling operation.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $45 per case</b></indent>\n\n<i><indent=30><i>Seo sláinte an tséitéara， an ghadaí， an trodaí， agus an óltóra! Má dhéanann tu séitéireacht， go ndéana tú séitéireacht ar an mbás. Má ghoideann tú， go ngoide tú croí mná; Má throideann tú， go dtroide tú i leith do bhráthar. Agus má ólann tú， go n-óla tú liom féin.</i></indent>\n<indent=40>—Irish toast</indent>
info.brandy-bottled.icon	<sprite name="res brandy">
info.brandy-bottled.name	Bottled Brandy
info.brandy-bottled.desc	Fruits that are distilled into a potent firewater.\n\nBrandy can be and pretty much is made from any fruit with a high sugar content. You can get small production going in bottles in a makeshift brandy still. Or if you get your hands on some <sprite name="res brandy-barrel"> <link="brandy-barrel">brandy barrels</link>， you can create bottled brandy at a bottling operation.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $30 per case</b></indent>\n\n<i><indent=30><i>BRANDY， n. A cordial composed of one part thunder-and-lightning， one part remorse， two parts bloody murder， one part death-hell-and-the-grave and four parts clarified Satan.</i></indent>\n<indent=40>—Ambrose Bierce</indent>
info.vodka-bottled.icon	<sprite name="res vodka">
info.vodka-bottled.name	Bottled Vodka
info.vodka-bottled.desc	Like brandy， made from pretty much anything that will ferment and can be distilled into clear firewater.\n\nWith immigrants from central and eastern Europe came vodka. At its best， when filtered and distilled repeatedly， it brings a pleasant burn and can form the basis for many fine cocktails. At it worst， well， you'll find out in the morning. You can get small production going in bottles in a makeshift vodka still. Or if your hands on some <sprite name="res vodka-barrel"> <link="vodka-barrel">vodka barrels</link>， you can create bottled vodka at a bottling operation.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $35 per case</b></indent>\n\n<i><indent=30><i>Есть люди， умеющие пить водку， и есть люди， не умеющие пить водку， но все же пьющие ее. И вот первые получают удовольствие от горя и от радости， а вторые страдают за всех тех， кто пьет водку， не умея пить ее.</i></indent>\n<indent=40>—Isaac Babel</indent>
info.rum-bottled.icon	<sprite name="res rum">
info.rum-bottled.name	Bottled Rum
info.rum-bottled.desc	Made from molasses and other sugar byproducts， rum is quite popular.\n\nSugar production in the New World was originally for a single purpose - rum. The spicy beverage now forms the backbone of many hip cocktails and drinks. You can get small production going in bottles at a makeshift rum still. Or if you get your hands on <sprite name="res barrel-rum"> <link="rum-barrel">rum barrels</link>， you can create bottled rum at a bottling operation.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $28 per case</b></indent>\n\n<i><indent=30><i>There’s naught， no doubt， so much the spirit calms as rum and true religion.</i></indent>\n<indent=40>—Lord Byron</indent>
info.whiskey-barrel.icon	<sprite name="res whiskey-barrel">
info.whiskey-barrel.name	Whiskey Barrels
info.whiskey-barrel.desc	Made in whiskey stills from grain.\n\nOnce your operation has attained sufficient size and technical ability， you'll be able to construct large whiskey stills that can convert <sprite name="res wheat"> <link="wheat">wheat</link> or <sprite name="res rye"> <link="rye">rye</link> into massive barrels of whiskey. These can be sold directly to other enterprising bootleggers or transported to a bottling operation where you can put it in <sprite name="res bottles"> <link="bottles">bottles</link>， slap a <sprite name="res labels"> <link="labels">label</link> on it and then sell the <sprite name="res whisky"> <link="whiskey-bottled">bottled whiskey</link> to thirsty customers.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $2，000 per barrel</b></indent>\n\n<i><indent=30>Always carry a flagon of whiskey in case of snakebite and furthermore always carry a small snake.</i></indent>\n<indent=40>—W.C. Fields</indent>
info.brandy-barrel.icon	<sprite name="res brandy-barrel">
info.brandy-barrel.name	Brandy Barrels
info.brandy-barrel.desc	Made in brandy stills from fruits.\n\nOnce your operation has attained sufficient size and technical ability， you'll be able to construct large brandy stills that can convert <sprite name="res fruit"> <link="fruit-other">fruit</link> into massive barrels of brandy. These can be sold directly to other enterprising bootleggers or transported to a bottling operation where you can put it in <sprite name="res bottles"><link="bottles">bottles</link>， slap a <sprite name="res labels"> <link="labels">label</link> on it and then sell the <sprite name="res brandy"> <link="brandy-bottled">bottled brandy</link> to thirsty customers.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $1，200 per barrel</b></indent>\n\n<i><indent=30>Claret is the liquor for boys; port for men; but he who aspires to be a hero must drink brandy.</i></indent>\n<indent=40>—Samuel Johnson</indent>
info.vodka-barrel.icon	<sprite name="res vodka-barrel">
info.vodka-barrel.name	Vodka Barrels
info.vodka-barrel.desc	Made in vodka stills from barley.\n\nOnce your operation has attained sufficient size and technical ability， you'll be able to construct large vodka stills that can convert <sprite name="res barley"><link="barley">barley</link> into massive barrels of vodka. These can be sold directly to other enterprising bootleggers or transported to a bottling operation where you can put it in <sprite name="res bottles"><link="bottles">bottles</link>， slap a <sprite name="res labels"><link="labels">label</link> on it and then sell the <sprite name="res vodka"> <link="vodka-bottled">bottled vodka</link> to thirsty customers.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $1，000 per barrel</b></indent>\n\n<i><indent=30>I no longer know if I wish to drown myself in love. vodka or the sea.</i></indent>\n<indent=40>—Franz Kafka</indent>
info.rum-barrel.icon	<sprite name="res barrel-rum">
info.rum-barrel.name	Rum Barrels
info.rum-barrel.desc	Made in rum stills from sugar.\n\nOnce your operation has attained sufficient size and technical ability， you'll be able to construct large rum stills that can convert <sprite name="res sugar"> <link="sugar">sugar</link> into massive barrels of rum. These can be sold directly to other enterprising bootleggers or transported to a bottling operation where you can put it in <sprite name="res bottles"><link="bottles">bottles</link>， slap a <sprite name="res labels"><link="labels">label</link> on it and then sell the <sprite name="res rum"> <link="rum-bottled">bottled rum</link> to thirsty customers.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $800 per barrel</b></indent>\n\n<i><indent=30>There was a sound in their voices which suggested rum.</i></indent>\n<indent=40>—Robert Louis Stevenson</indent>
info.cigarettes.icon	<sprite name="res cigarettes">
info.cigarettes.name	Cigarettes
info.cigarettes.desc	Smuggled cigarettes can be a good way of getting an in with local business owner.\n\nHigh taxes on cigarettes make them an attractive item to smuggle into town from factories in the South. Sometimes a local corner hooligan will find a supply - from friends or connections or sometimes they "just find them" sitting there in trucks or rail cars. No matter how they came upon them， you can use them to establish <sprite name="ui pip social"> <link="relationships">trust</link> with business owners and earn a <sprite name="ui tickets"> <link="favors">favor or two</link>.\n\n<i><indent=30><i>A cigarette is the perfect type of a perfect pleasure. It is exquisite， and it leaves one unsatisfied. What more can you want?</i></indent>\n<indent=40>—Oscar Wilde</indent>
info.corn.icon	<sprite name="res corn">
info.corn.name	Corn
info.corn.desc	<b>Regional product not available in all cities.</b>\n\nWith the right knowledge， corn can be turned into various potent intoxicating liquors such as <sprite name="res moonshine"> <link="moonshine">moonshine</link>， <sprite name="res corn whiskey"> <link="corn-whiskey">corn whiskey</link> and <sprite name="res bourbon"> <link="bourbon">bourbon</link>.\n\n<i><indent=30><i>Where there is no grain， this is a sign of vengeance turned towards a city.</i></indent>\n<indent=40>—Sumerian Proverb</indent>
info.corn-whiskey.icon	<sprite name="res corn whiskey">
info.corn-whiskey.name	Corn Whiskey
info.corn-whiskey.desc	<b>Regional product not available in all cities.</b>\n\n<sprite name="res corn"> <link="corn">Corn</link> has a very high sugar content. Things with high sugar content tend to ferment nicely and， once fermented， distilled into alcohol. Americans have， in fact， been distilling whiskey from corn for as long as they've been growing it. If your city has access to a supply of corn， say from a local stockyard， then you can look into creating this particularly New World libation.\n\n<indent=15><b>Base price\n<sprite name="ui sell"> $26 per case</b></indent>\n\n<i><indent=30><i>They drink with impunity， or anybody who invites them.</i></indent>\n<indent=40>—Artemus Ward</indent>
info.bourbon.icon	<sprite name="res bourbon">
